11:57:00.073 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Node -1 disconnected.
11:57:00.084 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
11:57:00.085 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
11:57:01.045 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Node -1 disconnected.
11:57:01.046 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
11:57:01.046 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
11:57:01.928 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Node -1 disconnected.
11:57:01.929 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
11:57:01.930 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
11:57:02.982 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Node -1 disconnected.
11:57:02.983 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
