22:35:01.352 [kafka-producer-network-thread | demo-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Node 0 disconnected.
22:35:01.360 [kafka-producer-network-thread | demo-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:35:02.443 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Node 0 disconnected.
22:35:02.443 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:35:04.394 [kafka-producer-network-thread | demo-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Node 0 disconnected.
22:35:04.394 [kafka-producer-network-thread | demo-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:35:05.365 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Node 0 disconnected.
22:35:05.365 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:35:05.365 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.k.clients.FetchSessionHandler - [Consumer clientId=consumer-abc-1, groupId=abc] Error sending fetch request (sessionId=799420910, epoch=INITIAL) to node 0:
org.apache.kafka.common.errors.DisconnectException: null
22:35:07.434 [kafka-producer-network-thread | demo-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Node 0 disconnected.
22:35:07.434 [kafka-producer-network-thread | demo-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:35:08.428 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Node 0 disconnected.
22:35:08.428 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:35:08.428 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.k.clients.FetchSessionHandler - [Consumer clientId=consumer-abc-1, groupId=abc] Error sending fetch request (sessionId=799420910, epoch=INITIAL) to node 0:
org.apache.kafka.common.errors.DisconnectException: null
22:35:10.529 [kafka-producer-network-thread | demo-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Node 0 disconnected.
22:35:10.529 [kafka-producer-network-thread | demo-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:35:11.337 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Node 0 disconnected.
22:35:11.338 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:35:13.441 [kafka-producer-network-thread | demo-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Node 0 disconnected.
22:35:13.441 [kafka-producer-network-thread | demo-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:35:14.294 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Node 0 disconnected.
