15:46:00.607 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Node -1 disconnected.
15:46:00.616 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
15:46:00.616 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
15:46:01.600 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Node -1 disconnected.
15:46:01.601 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
15:46:01.601 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
15:46:02.651 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Node -1 disconnected.
15:46:02.651 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
15:46:02.651 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
15:46:03.658 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Node -1 disconnected.
15:46:03.658 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
15:46:03.659 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
15:46:04.588 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Node -1 disconnected.
15:46:04.588 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
15:46:04.588 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
15:46:05.615 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Node -1 disconnected.
15:46:05.615 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
15:46:05.616 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
15:46:06.620 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Node -1 disconnected.
15:46:06.620 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
15:46:06.620 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
15:46:07.553 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Node -1 disconnected.
15:46:07.553 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
